segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,0,6,0,0,0,0,0,0,8,0,8,8
1,6,4,4,0,0,0,0,0,0,6,0,8,10
2,6,2,4,0,0,0,0,0,0,6,0,10,10
3,4,0,4,0,0,0,0,0,0,8,2,10,10
4,4,4,4,0,0,0,2,2,2,10,0,10,10
5,6,4,4,0,0,0,0,0,0,10,0,10,10
6,4,2,4,2,2,2,4,4,4,10,0,10,10
7,2,2,4,2,2,2,2,2,2,10,0,8,8
8,6,4,2,2,2,2,2,2,2,10,0,10,10
9,4,6,4,4,2,4,2,2,2,4,0,10,10
10,4,2,2,2,2,2,2,2,2,6,0,10,10
11,6,6,4,4,4,4,2,2,2,4,0,6,8
12,4,2,2,2,2,2,2,2,2,2,0,8,6
13,2,0,0,0,0,0,0,0,0,0,0,6,6
14,2,2,6,2,2,2,2,2,2,2,0,8,8
15,4,4,2,4,2,2,2,2,2,2,0,6,6
16,2,4,4,2,2,2,2,0,0,0,0,6,8
17,0,0,0,0,0,0,0,0,0,0,0,10,10
