segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,10,6,6,6,6,6,6,6,10,8,0,10,10
1,6,6,4,6,10,10,10,10,4,8,4,4,10
2,4,4,4,4,4,4,4,4,4,10,10,4,10
3,8,6,4,4,10,4,4,10,10,10,10,4,10
4,4,4,6,6,2,2,6,2,2,6,2,8,10
5,4,4,2,2,2,2,2,2,2,2,0,8,10
6,2,0,0,0,0,0,0,0,0,0,0,6,8
7,4,4,2,2,2,2,0,0,0,6,0,8,6
8,4,0,0,0,0,0,0,0,0,0,0,6,6
9,4,4,4,4,4,2,2,2,2,6,2,6,6
10,6,2,4,2,4,0,2,2,0,0,0,4,4
11,4,4,4,0,0,0,0,0,0,0,0,4,4
12,6,4,4,4,4,4,4,4,4,4,0,4,4
13,4,4,6,6,2,2,6,2,2,6,2,8,10
14,4,4,2,2,2,2,2,2,2,2,0,8,10
15,2,2,0,2,2,2,2,2,0,0,0,6,8
16,4,4,2,2,2,2,0,0,0,6,0,8,6
17,4,0,0,0,0,0,0,0,0,0,0,6,6
