segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,3,3,3,3,4,4,5,6,5,6,0,4,3
1,3,3,3,3,3,4,5,6,5,6,0,4,4
2,3,3,3,3,3,4,5,6,5,6,1,4,4
3,4,4,3,4,3,4,5,5,5,6,0,3,4
4,4,4,3,4,3,4,4,5,5,6,1,4,4
5,4,3,3,4,3,4,4,5,5,5,1,3,4
6,3,3,3,3,3,3,3,3,4,5,0,2,5
7,3,3,3,3,3,3,3,3,4,5,1,4,6
8,3,3,3,2,2,3,2,2,2,3,0,3,5
9,3,3,3,4,3,3,3,3,3,3,1,2,5
10,3,3,3,4,3,3,3,3,3,4,1,2,5
11,3,3,3,3,3,3,3,3,2,3,0,2,5
12,4,3,3,3,3,3,3,2,2,2,0,2,4
13,3,3,3,3,3,3,3,3,3,3,1,1,4
14,3,2,2,2,2,2,2,2,3,3,0,1,4
15,3,3,3,3,3,3,3,3,3,4,0,3,5
16,3,4,3,3,3,3,3,3,3,3,1,3,5
17,3,3,4,4,3,3,3,3,5,5,2,4,5
