segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,2,4,4,4,4,4,4,4,4,10,10,0,10
1,2,2,4,4,2,2,2,2,2,10,10,0,10
2,2,2,2,0,0,2,2,0,0,10,10,0,10
3,2,2,2,2,0,0,0,0,0,10,10,0,10
4,0,0,0,0,0,0,0,0,0,10,10,2,4
5,2,2,2,2,2,2,2,4,4,10,10,4,4
6,4,6,2,2,0,0,0,0,0,10,10,4,4
7,4,6,2,2,2,2,2,2,2,10,10,4,8
8,2,4,2,2,0,2,0,2,2,10,10,0,6
9,0,4,4,4,4,4,4,4,4,10,10,0,6
10,0,6,4,4,2,2,2,2,2,10,10,0,8
11,2,6,4,0,0,2,2,0,0,10,10,0,6
12,0,2,4,2,2,0,0,2,0,10,10,0,8
13,0,0,0,0,4,4,2,2,0,10,10,2,4
14,2,2,4,2,2,2,2,4,4,10,10,0,4
15,4,4,2,2,2,0,0,2,0,10,10,2,8
16,4,4,6,2,4,2,2,4,2,10,10,0,8
17,4,4,2,2,4,0,2,2,2,10,10,0,6
