segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,2,4,2,2,2,4,2,2,2,2,4,6
1,4,2,0,4,2,2,2,2,2,0,0,2,6
2,6,6,10,6,4,4,6,4,4,10,0,6,8
3,4,4,8,2,4,2,2,2,2,2,0,4,6
4,2,0,0,0,2,0,2,2,2,4,4,6,8
5,6,2,2,2,0,0,2,0,0,2,2,4,8
6,4,4,4,4,4,2,2,2,2,0,0,4,6
7,2,0,0,4,4,2,4,2,2,2,0,4,4
8,6,4,4,4,4,4,6,4,4,6,4,6,6
9,4,2,0,0,2,2,6,4,4,0,2,2,4
10,6,2,4,4,4,2,2,2,4,4,2,4,6
11,2,2,2,2,0,2,2,2,4,0,0,6,6
12,2,2,2,2,2,2,2,2,2,0,0,0,6
13,6,4,4,4,2,4,2,2,4,6,4,6,6
14,4,2,0,0,2,2,6,4,4,0,2,2,4
15,6,2,4,2,2,2,2,2,2,2,2,4,6
16,2,2,0,4,0,2,2,2,2,0,0,6,6
17,6,6,10,6,4,4,6,4,4,10,0,6,8
